,X,Y,correlation
0,danceability,danceability,1.0
1,danceability,energy,-0.07266312872397879
2,danceability,loudness,0.018534310469726423
3,danceability,valence,0.33233603593528466
4,danceability,tempo,-0.17354994910483812
5,danceability,duration,-0.08517514553424076
6,energy,danceability,-0.07266312872397879
7,energy,energy,1.0
8,energy,loudness,0.6844367321685194
9,energy,valence,0.15513140864564973
10,energy,tempo,0.1521408285144699
11,energy,duration,0.029287138970236434
12,loudness,danceability,0.018534310469726423
13,loudness,energy,0.6844367321685194
14,loudness,loudness,1.0
15,loudness,valence,0.05597459914472819
16,loudness,tempo,0.09850992079647139
17,loudness,duration,-0.09002188075838549
18,valence,danceability,0.33233603593528466
19,valence,energy,0.15513140864564973
20,valence,loudness,0.05597459914472819
21,valence,valence,1.0
22,valence,tempo,-0.020457130377836374
23,valence,duration,-0.0477391836249974
24,tempo,danceability,-0.17354994910483812
25,tempo,energy,0.1521408285144699
26,tempo,loudness,0.09850992079647139
27,tempo,valence,-0.020457130377836374
28,tempo,tempo,1.0
29,tempo,duration,0.003516722204029601
30,duration,danceability,-0.08517514553424076
31,duration,energy,0.029287138970236434
32,duration,loudness,-0.09002188075838549
33,duration,valence,-0.0477391836249974
34,duration,tempo,0.003516722204029601
35,duration,duration,1.0
