,danceability,playlist_genre
14,0.774,pop
15,0.651,pop
16,0.691,pop
17,0.806,pop
21,0.649,pop
24,0.863,pop
111,0.627,pop
112,0.532,pop
113,0.667,pop
114,0.694,pop
115,0.802,pop
116,0.653,pop
123,0.771,pop
124,0.657,pop
125,0.873,pop
127,0.378,pop
128,0.587,pop
129,0.659,pop
130,0.736,pop
131,0.793,pop
132,0.408,pop
144,0.389,pop
152,0.596,pop
153,0.662,pop
159,0.774,pop
174,0.781,pop
183,0.607,pop
193,0.622,pop
194,0.603,pop
195,0.748,pop
196,0.6,pop
370,0.652,pop
371,0.715,pop
372,0.906,pop
373,0.679,pop
374,0.683,pop
375,0.832,pop
376,0.682,pop
377,0.791,pop
378,0.511,pop
379,0.519,pop
380,0.713,pop
381,0.571,pop
382,0.684,pop
383,0.616,pop
384,0.72,pop
385,0.673,pop
386,0.839,pop
673,0.353,pop
674,0.56,pop
675,0.6,pop
676,0.712,pop
677,0.574,pop
678,0.321,pop
679,0.31,pop
680,0.611,pop
681,0.463,pop
682,0.351,pop
683,0.633,pop
684,0.483,pop
685,0.71,pop
686,0.467,pop
687,0.698,pop
704,0.682,pop
705,0.636,pop
706,0.648,pop
707,0.225,pop
708,0.379,pop
709,0.27,pop
710,0.39,pop
711,0.379,pop
712,0.562,pop
713,0.638,pop
714,0.697,pop
715,0.688,pop
766,0.605,pop
767,0.64,pop
768,0.768,pop
769,0.576,pop
770,0.451,pop
771,0.778,pop
772,0.559,pop
773,0.603,pop
774,0.674,pop
775,0.64,pop
776,0.686,pop
777,0.742,pop
778,0.644,pop
779,0.839,pop
780,0.566,pop
781,0.786,pop
782,0.658,pop
783,0.894,pop
784,0.825,pop
785,0.777,pop
786,0.702,pop
787,0.837,pop
788,0.611,pop
789,0.746,pop
790,0.795,pop
791,0.617,pop
792,0.571,pop
793,0.69,pop
794,0.612,pop
795,0.468,pop
796,0.536,pop
797,0.631,pop
798,0.646,pop
802,0.615,pop
803,0.708,pop
804,0.639,pop
805,0.421,pop
806,0.691,pop
814,0.37,pop
816,0.665,pop
817,0.654,pop
819,0.686,pop
820,0.626,pop
821,0.664,pop
822,0.478,pop
823,0.719,pop
824,0.621,pop
825,0.568,pop
826,0.644,pop
827,0.452,pop
828,0.298,pop
829,0.762,pop
830,0.675,pop
831,0.793,pop
832,0.511,pop
841,0.326,pop
842,0.653,pop
843,0.761,pop
844,0.719,pop
845,0.672,pop
846,0.859,pop
848,0.612,pop
849,0.621,pop
850,0.763,pop
851,0.753,pop
852,0.578,pop
853,0.731,pop
854,0.572,pop
855,0.678,pop
869,0.651,pop
880,0.436,pop
881,0.62,pop
882,0.763,pop
883,0.641,pop
884,0.843,pop
896,0.74,pop
905,0.586,pop
906,0.402,pop
909,0.437,pop
910,0.684,pop
911,0.242,pop
912,0.733,pop
913,0.634,pop
916,0.818,pop
917,0.656,pop
918,0.667,pop
919,0.498,pop
920,0.397,pop
921,0.953,pop
922,0.756,pop
1000,0.361,pop
1010,0.673,pop
1019,0.64,pop
1020,0.527,pop
1048,0.674,pop
1049,0.69,pop
1050,0.468,pop
1051,0.465,pop
1059,0.627,pop
1076,0.446,pop
1077,0.564,pop
1093,0.461,pop
1094,0.563,pop
1095,0.631,pop
1107,0.486,pop
1115,0.671,pop
1116,0.714,pop
1117,0.691,pop
1118,0.651,pop
1119,0.438,pop
1120,0.59,pop
1987,0.818,pop
1988,0.917,pop
1989,0.696,pop
1990,0.721,pop
1991,0.382,pop
1999,0.734,pop
2000,0.722,pop
2001,0.703,pop
2002,0.772,pop
2003,0.739,pop
2004,0.792,pop
2005,0.706,pop
2006,0.645,pop
2007,0.662,pop
2029,0.673,pop
2030,0.516,pop
2031,0.686,pop
2033,0.714,pop
2034,0.742,pop
