,duration,playlist_genre
14,168,pop
15,163,pop
16,172,pop
17,157,pop
21,287,pop
24,223,pop
111,217,pop
112,217,pop
113,175,pop
114,188,pop
115,192,pop
116,209,pop
123,171,pop
124,186,pop
125,202,pop
127,248,pop
128,219,pop
129,201,pop
130,204,pop
131,196,pop
132,230,pop
144,247,pop
152,206,pop
153,187,pop
159,191,pop
174,197,pop
183,213,pop
193,235,pop
194,187,pop
195,286,pop
196,259,pop
370,227,pop
371,200,pop
372,129,pop
373,207,pop
374,201,pop
375,240,pop
376,192,pop
377,192,pop
378,213,pop
379,224,pop
380,305,pop
381,195,pop
382,222,pop
383,234,pop
384,200,pop
385,232,pop
386,239,pop
673,205,pop
674,206,pop
675,196,pop
676,231,pop
677,149,pop
678,194,pop
679,224,pop
680,201,pop
681,241,pop
682,178,pop
683,192,pop
684,225,pop
685,161,pop
686,150,pop
687,152,pop
704,195,pop
705,199,pop
706,163,pop
707,163,pop
708,54,pop
709,192,pop
710,289,pop
711,184,pop
712,198,pop
713,192,pop
714,193,pop
715,156,pop
766,269,pop
767,276,pop
768,270,pop
769,253,pop
770,294,pop
771,273,pop
772,208,pop
773,321,pop
774,236,pop
775,285,pop
776,349,pop
777,209,pop
778,237,pop
779,243,pop
780,283,pop
781,307,pop
782,247,pop
783,251,pop
784,263,pop
785,406,pop
786,243,pop
787,289,pop
788,310,pop
789,244,pop
790,218,pop
791,223,pop
792,230,pop
793,424,pop
794,233,pop
795,192,pop
796,195,pop
797,264,pop
798,239,pop
802,212,pop
803,237,pop
804,133,pop
805,170,pop
806,286,pop
814,61,pop
816,271,pop
817,199,pop
819,237,pop
820,221,pop
821,242,pop
822,185,pop
823,254,pop
824,188,pop
825,205,pop
826,213,pop
827,179,pop
828,199,pop
829,179,pop
830,267,pop
831,252,pop
832,150,pop
841,95,pop
842,208,pop
843,206,pop
844,199,pop
845,240,pop
846,194,pop
848,327,pop
849,308,pop
850,192,pop
851,331,pop
852,205,pop
853,269,pop
854,256,pop
855,193,pop
869,259,pop
880,203,pop
881,225,pop
882,193,pop
883,262,pop
884,310,pop
896,217,pop
905,226,pop
906,299,pop
909,252,pop
910,291,pop
911,238,pop
912,261,pop
913,183,pop
916,214,pop
917,310,pop
918,280,pop
919,212,pop
920,234,pop
921,170,pop
922,186,pop
1000,172,pop
1010,171,pop
1019,147,pop
1020,234,pop
1048,183,pop
1049,129,pop
1050,199,pop
1051,217,pop
1059,217,pop
1076,213,pop
1077,209,pop
1093,190,pop
1094,162,pop
1095,191,pop
1107,105,pop
1115,138,pop
1116,173,pop
1117,283,pop
1118,191,pop
1119,161,pop
1120,178,pop
1987,159,pop
1988,240,pop
1989,195,pop
1990,231,pop
1991,197,pop
1999,292,pop
2000,226,pop
2001,225,pop
2002,168,pop
2003,217,pop
2004,169,pop
2005,200,pop
2006,226,pop
2007,191,pop
2029,174,pop
2030,198,pop
2031,206,pop
2033,180,pop
2034,185,pop
2035,243,pop
2036,169,pop
2037,236,pop
2038,241,pop
2039,217,pop
2040,201,pop
2041,183,pop
2046,193,pop
2047,156,pop
2048,200,pop
2049,199,pop
2050,196,pop
2061,183,pop
2062,132,pop
2063,196,pop
2064,190,pop
2065,193,pop
2066,163,pop
2067,212,pop
2068,176,pop
2070,193,pop
2117,214,pop
2118,220,pop
2119,186,pop
2120,181,pop
2121,180,pop
2122,181,pop
2123,216,pop
2124,204,pop
2125,183,pop
2142,179,pop
2143,208,pop
2161,195,pop
2162,127,pop
2182,193,pop
2183,175,pop
2184,276,pop
2185,191,pop
2186,142,pop
2450,224,pop
2451,253,pop
2452,270,pop
2453,248,pop
2454,244,pop
2455,257,pop
2456,216,pop
2457,206,pop
2458,226,pop
2459,300,pop
2460,238,pop
2461,282,pop
2462,239,pop
2463,248,pop
2464,214,pop
2465,220,pop
2466,244,pop
2467,209,pop
2468,220,pop
2469,290,pop
2470,267,pop
2471,207,pop
2485,273,pop
2486,282,pop
2487,238,pop
2488,243,pop
2489,192,pop
2490,149,pop
2491,274,pop
2492,200,pop
2493,377,pop
2511,292,pop
2512,223,pop
2513,264,pop
2514,225,pop
2515,208,pop
2516,222,pop
2517,273,pop
2518,326,pop
2519,244,pop
2520,254,pop
2521,285,pop
2522,234,pop
2523,272,pop
2525,207,pop
2526,218,pop
2642,204,pop
2643,190,pop
2644,197,pop
2645,259,pop
2646,182,pop
2647,269,pop
2648,242,pop
2649,210,pop
2650,197,pop
2651,246,pop
2652,231,pop
2653,266,pop
2654,304,pop
2693,199,pop
2701,182,pop
2702,209,pop
2703,161,pop
2704,202,pop
2705,220,pop
2706,233,pop
2707,187,pop
2708,200,pop
2709,163,pop
2710,376,pop
2711,210,pop
2712,227,pop
2713,184,pop
2714,273,pop
2715,358,pop
2795,309,pop
2796,299,pop
2797,352,pop
2798,243,pop
2799,226,pop
2800,187,pop
2801,241,pop
2802,222,pop
2803,206,pop
2804,326,pop
2805,194,pop
2806,254,pop
2807,193,pop
2808,193,pop
2809,195,pop
2810,187,pop
2830,197,pop
2831,221,pop
2832,206,pop
2835,206,pop
2836,245,pop
2837,199,pop
2848,200,pop
2849,182,pop
2850,246,pop
2851,261,pop
2852,174,pop
2853,187,pop
2854,168,pop
2874,218,pop
2875,250,pop
2893,202,pop
2894,191,pop
2895,153,pop
2896,204,pop
2897,187,pop
2898,189,pop
2899,152,pop
2900,224,pop
2901,208,pop
2902,201,pop
2903,196,pop
2904,231,pop
2905,233,pop
2906,220,pop
2907,191,pop
2908,186,pop
2909,209,pop
2966,157,pop
2968,233,pop
2969,226,pop
2970,191,pop
2971,202,pop
2972,152,pop
2973,203,pop
2974,324,pop
2975,195,pop
2976,136,pop
2977,222,pop
2978,214,pop
2979,176,pop
2980,206,pop
2981,223,pop
2982,159,pop
2983,169,pop
2984,308,pop
3004,179,pop
3005,190,pop
3006,208,pop
3007,218,pop
3008,215,pop
3009,225,pop
3010,136,pop
3011,174,pop
3012,196,pop
3013,213,pop
3014,192,pop
3029,185,pop
3030,208,pop
3031,169,pop
3032,240,pop
3033,165,pop
3034,183,pop
3035,198,pop
3036,154,pop
3037,179,pop
3046,154,pop
3047,216,pop
3048,158,pop
3049,203,pop
3053,153,pop
3055,291,pop
3073,206,pop
3074,231,pop
3107,167,pop
3118,157,pop
3119,170,pop
3121,225,pop
3122,177,pop
3139,204,pop
3143,242,pop
3144,220,pop
3404,220,pop
3416,166,pop
3417,205,pop
3418,260,pop
3419,163,pop
3420,185,pop
3421,170,pop
3422,200,pop
3423,215,pop
3427,170,pop
3430,203,pop
3612,237,pop
3613,225,pop
3616,199,pop
3617,223,pop
3618,244,pop
3619,205,pop
3620,162,pop
3621,217,pop
3622,292,pop
3623,264,pop
3624,221,pop
3625,184,pop
3626,193,pop
3627,232,pop
3628,224,pop
3630,214,pop
3631,211,pop
3632,198,pop
3633,210,pop
3634,200,pop
3635,283,pop
3636,212,pop
3637,208,pop
3638,166,pop
3653,244,pop
3680,141,pop
3681,242,pop
3683,241,pop
3689,220,pop
3690,146,pop
3691,249,pop
3695,225,pop
3696,208,pop
3697,270,pop
3698,240,pop
3699,193,pop
3700,195,pop
3701,157,pop
3702,311,pop
3717,214,pop
3718,232,pop
3722,187,pop
3723,205,pop
3724,164,pop
3725,221,pop
3726,154,pop
3727,189,pop
3728,208,pop
3755,181,pop
3756,215,pop
3757,163,pop
3758,203,pop
3759,224,pop
3760,222,pop
3761,211,pop
3762,218,pop
3800,219,pop
3827,187,pop
3828,186,pop
3829,341,pop
3830,219,pop
3831,262,pop
3832,190,pop
3833,172,pop
3834,170,pop
3835,242,pop
3836,270,pop
3837,186,pop
3838,174,pop
3839,181,pop
3840,152,pop
3841,187,pop
3843,200,pop
3844,209,pop
3845,203,pop
3849,202,pop
3850,174,pop
3857,221,pop
3859,207,pop
3860,159,pop
3862,262,pop
3874,199,pop
3875,263,pop
3876,217,pop
3877,205,pop
