,energy,playlist_genre
14,0.747,pop
15,0.925,pop
16,0.939,pop
17,0.289,pop
21,0.831,pop
24,0.631,pop
111,0.8,pop
112,0.807,pop
113,0.954,pop
114,0.709,pop
115,0.904,pop
116,0.828,pop
123,0.671,pop
124,0.768,pop
125,0.495,pop
127,0.388,pop
128,0.583,pop
129,0.857,pop
130,0.817,pop
131,0.832,pop
132,0.582,pop
144,0.277,pop
152,0.897,pop
153,0.837,pop
159,0.45,pop
174,0.742,pop
183,0.784,pop
193,0.712,pop
194,0.873,pop
195,0.414,pop
196,0.67,pop
370,0.887,pop
371,0.8,pop
372,0.382,pop
373,0.753,pop
374,0.795,pop
375,0.87,pop
376,0.889,pop
377,0.713,pop
378,0.816,pop
379,0.954,pop
380,0.649,pop
381,0.833,pop
382,0.71,pop
383,0.869,pop
384,0.861,pop
385,0.683,pop
386,0.804,pop
673,0.879,pop
674,0.826,pop
675,0.809,pop
676,0.922,pop
677,0.41,pop
678,0.405,pop
679,0.167,pop
680,0.936,pop
681,0.726,pop
682,0.626,pop
683,0.941,pop
684,0.788,pop
685,0.871,pop
686,0.817,pop
687,0.458,pop
704,0.927,pop
705,0.839,pop
706,0.349,pop
707,0.0917,pop
708,0.00814,pop
709,0.279,pop
710,0.424,pop
711,0.502,pop
712,0.768,pop
713,0.713,pop
714,0.775,pop
715,0.774,pop
766,0.764,pop
767,0.875,pop
768,0.69,pop
769,0.291,pop
770,0.872,pop
771,0.747,pop
772,0.64,pop
773,0.936,pop
774,0.713,pop
775,0.665,pop
776,0.671,pop
777,0.804,pop
778,0.758,pop
779,0.741,pop
780,0.825,pop
781,0.714,pop
782,0.94,pop
783,0.569,pop
784,0.707,pop
785,0.703,pop
786,0.851,pop
787,0.516,pop
788,0.758,pop
789,0.676,pop
790,0.578,pop
791,0.896,pop
792,0.821,pop
793,0.716,pop
794,0.695,pop
795,0.935,pop
796,0.941,pop
797,0.883,pop
798,0.446,pop
802,0.726,pop
803,0.662,pop
804,0.957,pop
805,0.706,pop
806,0.66,pop
814,0.196,pop
816,0.634,pop
817,0.601,pop
819,0.629,pop
820,0.55,pop
821,0.231,pop
822,0.672,pop
823,0.708,pop
824,0.606,pop
825,0.565,pop
826,0.414,pop
827,0.42,pop
828,0.571,pop
829,0.525,pop
830,0.693,pop
831,0.749,pop
832,0.613,pop
841,0.0879,pop
842,0.898,pop
843,0.92,pop
844,0.796,pop
845,0.291,pop
846,0.413,pop
848,0.821,pop
849,0.722,pop
850,0.901,pop
851,0.647,pop
852,0.777,pop
853,0.955,pop
854,0.629,pop
855,0.913,pop
869,0.769,pop
880,0.847,pop
881,0.742,pop
882,0.609,pop
883,0.673,pop
884,0.433,pop
896,0.546,pop
905,0.411,pop
906,0.482,pop
909,0.414,pop
910,0.701,pop
911,0.0692,pop
912,0.876,pop
913,0.925,pop
916,0.799,pop
917,0.636,pop
918,0.465,pop
919,0.78,pop
920,0.506,pop
921,0.811,pop
922,0.704,pop
1000,0.945,pop
1010,0.943,pop
1019,0.857,pop
1020,0.806,pop
1048,0.471,pop
1049,0.689,pop
1050,0.968,pop
1051,0.739,pop
1059,0.956,pop
1076,0.573,pop
1077,0.833,pop
1093,0.773,pop
1094,0.954,pop
1095,0.939,pop
1107,0.855,pop
1115,0.91,pop
1116,0.809,pop
1117,0.874,pop
1118,0.711,pop
1119,0.914,pop
1120,0.678,pop
1987,0.817,pop
1988,0.6,pop
1989,0.889,pop
1990,0.861,pop
1991,0.872,pop
1999,0.714,pop
2000,0.905,pop
2001,0.686,pop
2002,0.849,pop
2003,0.622,pop
2004,0.724,pop
2005,0.931,pop
2006,0.795,pop
2007,0.823,pop
2029,0.885,pop
2030,0.857,pop
2031,0.613,pop
2033,0.799,pop
2034,0.732,pop
2035,0.718,pop
2036,0.482,pop
2037,0.844,pop
2038,0.724,pop
2039,0.728,pop
2040,0.924,pop
2041,0.672,pop
2046,0.732,pop
2047,0.726,pop
2048,0.88,pop
2049,0.853,pop
2050,0.858,pop
2061,0.78,pop
2062,0.708,pop
2063,0.712,pop
2064,0.775,pop
2065,0.665,pop
2066,0.806,pop
2067,0.746,pop
2068,0.718,pop
2070,0.848,pop
2117,0.878,pop
2118,0.685,pop
2119,0.748,pop
2120,0.843,pop
2121,0.867,pop
2122,0.742,pop
2123,0.697,pop
2124,0.819,pop
2125,0.659,pop
2142,0.802,pop
2143,0.724,pop
2161,0.766,pop
2162,0.706,pop
2182,0.687,pop
2183,0.652,pop
2184,0.758,pop
2185,0.885,pop
2186,0.782,pop
2450,0.643,pop
2451,0.783,pop
2452,0.356,pop
2453,0.876,pop
2454,0.373,pop
2455,0.405,pop
2456,0.692,pop
2457,0.663,pop
2458,0.605,pop
2459,0.901,pop
2460,0.596,pop
2461,0.828,pop
2462,0.837,pop
2463,0.68,pop
2464,0.461,pop
2465,0.628,pop
2466,0.653,pop
2467,0.921,pop
2468,0.714,pop
2469,0.803,pop
2470,0.842,pop
2471,0.758,pop
2485,0.854,pop
2486,0.752,pop
2487,0.231,pop
2488,0.59,pop
2489,0.542,pop
2490,0.516,pop
2491,0.571,pop
2492,0.615,pop
2493,0.203,pop
2511,0.777,pop
2512,0.75,pop
2513,0.644,pop
2514,0.836,pop
2515,0.913,pop
2516,0.789,pop
2517,0.892,pop
2518,0.536,pop
2519,0.888,pop
2520,0.916,pop
2521,0.891,pop
2522,0.76,pop
2523,0.758,pop
2525,0.892,pop
2526,0.824,pop
2642,0.885,pop
2643,0.607,pop
2644,0.753,pop
2645,0.749,pop
2646,0.702,pop
2647,0.63,pop
2648,0.633,pop
2649,0.776,pop
2650,0.871,pop
2651,0.788,pop
2652,0.757,pop
2653,0.811,pop
2654,0.719,pop
2693,0.824,pop
2701,0.682,pop
2702,0.756,pop
2703,0.877,pop
2704,0.346,pop
2705,0.535,pop
2706,0.753,pop
2707,0.625,pop
2708,0.742,pop
2709,0.511,pop
2710,0.544,pop
2711,0.431,pop
2712,0.754,pop
2713,0.906,pop
2714,0.613,pop
2715,0.586,pop
2795,0.442,pop
2796,0.879,pop
2797,0.792,pop
2798,0.677,pop
2799,0.587,pop
2800,0.943,pop
2801,0.639,pop
2802,0.691,pop
2803,0.821,pop
2804,0.729,pop
2805,0.746,pop
2806,0.648,pop
2807,0.631,pop
2808,0.554,pop
2809,0.847,pop
2810,0.495,pop
2830,0.875,pop
2831,0.828,pop
2832,0.529,pop
2835,0.53,pop
2836,0.871,pop
2837,0.916,pop
2848,0.837,pop
2849,0.934,pop
2850,0.852,pop
2851,0.682,pop
2852,0.861,pop
2853,0.946,pop
2854,0.737,pop
2874,0.635,pop
2875,0.739,pop
2893,0.638,pop
2894,0.922,pop
2895,0.948,pop
2896,0.728,pop
2897,0.576,pop
2898,0.884,pop
2899,0.827,pop
2900,0.906,pop
2901,0.806,pop
2902,0.934,pop
2903,0.86,pop
2904,0.554,pop
2905,0.835,pop
2906,0.932,pop
2907,0.848,pop
2908,0.861,pop
2909,0.933,pop
2966,0.645,pop
2968,0.715,pop
2969,0.756,pop
2970,0.755,pop
2971,0.52,pop
2972,0.57,pop
2973,0.688,pop
2974,0.771,pop
2975,0.704,pop
2976,0.694,pop
2977,0.766,pop
2978,0.749,pop
2979,0.636,pop
2980,0.658,pop
2981,0.714,pop
2982,0.311,pop
2983,0.847,pop
2984,0.817,pop
3004,0.735,pop
3005,0.735,pop
3006,0.33,pop
3007,0.337,pop
3008,0.73,pop
3009,0.58,pop
3010,0.348,pop
3011,0.625,pop
3012,0.595,pop
3013,0.718,pop
3014,0.843,pop
3029,0.797,pop
3030,0.946,pop
3031,0.779,pop
3032,0.731,pop
3033,0.736,pop
3034,0.844,pop
3035,0.899,pop
3036,0.541,pop
3037,0.633,pop
3046,0.687,pop
3047,0.699,pop
3048,0.745,pop
3049,0.547,pop
3053,0.923,pop
3055,0.965,pop
3073,0.89,pop
3074,0.727,pop
3107,0.827,pop
