,loudness,playlist_genre
14,-3.908,pop
15,-3.382,pop
16,-4.06,pop
17,-9.853,pop
21,-6.556,pop
24,-4.689,pop
111,-6.945,pop
112,-4.301,pop
113,-3.462,pop
114,-6.205,pop
115,-3.267,pop
116,-5.22,pop
123,-5.617,pop
124,-4.628,pop
125,-5.446,pop
127,-9.017,pop
128,-5.284,pop
129,-5.85,pop
130,-4.9,pop
131,-4.862,pop
132,-8.305,pop
144,-10.757,pop
152,-2.94,pop
153,-5.015,pop
159,-6.86,pop
174,-4.978,pop
183,-7.963,pop
193,-11.585,pop
194,-7.024,pop
195,-15.15,pop
196,-7.191,pop
370,-4.002,pop
371,-3.7,pop
372,-12.89,pop
373,-6.373,pop
374,-4.761,pop
375,-4.2,pop
376,-4.166,pop
377,-3.742,pop
378,-5.647,pop
379,-4.381,pop
380,-10.353,pop
381,-6.316,pop
382,-3.614,pop
383,-3.911,pop
384,-4.339,pop
385,-5.693,pop
386,-2.513,pop
673,-3.486,pop
674,-5.866,pop
675,-4.982,pop
676,-3.902,pop
677,-8.7,pop
678,-8.459,pop
679,-14.525,pop
680,-3.697,pop
681,-5.126,pop
682,-5.314,pop
683,-3.413,pop
684,-3.473,pop
685,-6.196,pop
686,-4.941,pop
687,-6.853,pop
704,-2.915,pop
705,-4.384,pop
706,-10.809,pop
707,-20.384,pop
708,-21.447,pop
709,-10.319,pop
710,-9.336,pop
711,-10.027,pop
712,-5.006,pop
713,-6.475,pop
714,-6.664,pop
715,-4.444,pop
766,-6.195,pop
767,-5.999,pop
768,-8.642,pop
769,-9.919,pop
770,-5.303,pop
771,-6.899,pop
772,-7.022,pop
773,-6.571,pop
774,-7.782,pop
775,-10.317,pop
776,-10.185,pop
777,-6.287,pop
778,-7.859,pop
779,-7.27,pop
780,-3.947,pop
781,-9.223,pop
782,-5.171,pop
783,-7.144,pop
784,-9.982,pop
785,-6.92,pop
786,-5.747,pop
787,-7.735,pop
788,-6.431,pop
789,-5.702,pop
790,-8.507,pop
791,-5.702,pop
792,-6.715,pop
793,-6.375,pop
794,-6.016,pop
795,-3.901,pop
796,-6.985,pop
797,-4.162,pop
798,-7.297,pop
802,-7.128,pop
803,-7.492,pop
804,-6.039,pop
805,-5.206,pop
806,-8.007,pop
814,-15.067,pop
816,-5.484,pop
817,-6.474,pop
819,-6.485,pop
820,-5.105,pop
821,-12.696,pop
822,-5.802,pop
823,-7.418,pop
