,var,mean,std,min,25%,50%,75%,max,Genre
0,danceability,4.797132352608606,4.754550622870239,4.899290284850077,4.868629864554801,4.817385369075791,4.7172931148539865,5.4890204948792105,pop
1,energy,5.052017541249741,5.280540961572304,4.534634462782132,5.007365673259045,5.092048909374442,5.102959248374531,5.469809238649817,pop
2,loudness,5.442769729842289,4.427169305371402,5.175502497027211,5.493442052357677,5.436198837533818,5.325551387566713,3.8062168327579107,pop
3,valence,4.847706767342984,4.242397281712956,5.474530751497516,4.942604516860847,4.8458680082747865,4.795359305954367,4.8082587527881575,pop
4,tempo,5.043444042133725,4.766209403457652,4.764295962782275,5.107658447373289,5.18375756300697,4.720147556100499,4.219265271528866,pop
5,duration,4.411587079974656,3.713266110753942,5.177419840681536,5.163082018263361,4.538734395985557,4.001670769494602,3.4400623962562498,pop
6,danceability,5.204242825329196,5.986549046893146,5.584446543656935,5.068812928090342,5.268550927829719,5.362145183451506,4.965069964651485,r&b
7,energy,3.5307109261925493,5.488859757885914,4.627475045996344,3.540123560057025,3.4831940585689836,3.5105228735151073,3.0536474398793296,r&b
8,loudness,3.7379720747726024,4.880513114749848,5.518989737061162,3.960670814594393,3.6302496525635704,3.3998965567292103,4.074048932937541,r&b
9,valence,5.271255517821491,4.7620789371995595,6.04032144659281,5.209669213916497,5.314429263119435,5.275521828296076,6.533929977694741,r&b
10,tempo,3.463293053420561,5.444840841032692,5.348927337768207,4.227030027669423,3.6331681886576828,4.378962858731992,4.777154082468837,r&b
11,duration,5.841664115806739,4.938731745336199,6.297966202880716,5.815410091316803,6.1531640100361065,6.104534467793208,4.880004799712019,r&b
12,danceability,3.141078751749508,5.958445924780429,3.273076032019338,3.1545623830317195,3.1545180239541724,3.1752555595120926,3.0788480558316715,rock
13,energy,5.495957305567408,6.28053318088643,4.751769815873295,5.210658255208724,5.692367883555583,5.954089034937327,5.067115605521402,rock
14,loudness,4.2092425469622645,6.408755567647504,5.195832198040318,3.812094898896854,4.284404579563905,4.862915897448951,6.188957363635248,rock
15,valence,5.241051095345821,6.049300694034577,3.739439286538614,5.167501103855079,5.0924791950351285,5.302959686715602,5.5752237416355275,rock
16,tempo,5.956149627773603,5.409073975672654,3.197875957467276,5.1541114226129014,5.783662273515353,6.096220708904638,4.3290194778051285,rock
17,duration,6.489766753023997,5.572517236173464,3.32851834305289,6.304656146106884,6.383796812043328,6.359427037283948,5.869965202087861,rock
18,danceability,5.866145545781504,5.581398613691485,5.749544437345335,5.706896443109883,5.900182710085217,5.992978728818644,5.06986007069703,rap
19,energy,4.342270259685447,5.184038704056244,4.736550048133259,4.42400435114258,4.335647001906205,4.30674106094482,5.469809238649817,rap
20,loudness,4.674566249165571,5.537200972955984,5.183126134907126,4.809327574854823,4.727578776383588,4.601328786720005,5.315486910797176,rap
21,valence,4.850338034690623,3.9620179064712158,5.575115763958902,4.900436406799429,5.0308263983450425,4.850235022793419,4.041293763940787,rap
22,tempo,4.911111999349706,5.8951351168967205,4.919185084710426,4.162317576902775,5.180464198120684,6.420030573862891,4.532422653567113,rap
23,duration,3.8613107228877412,5.14867401229686,4.7292012958018645,3.532261835629755,4.3081015939783365,4.702625335594137,4.2500299982001195,rap
24,danceability,5.164116357161045,4.092422080083204,5.947661909771415,5.181415901329085,5.036522926184842,5.067756195613508,5.908180919061391,edm
25,energy,6.465248188343172,3.376377420253649,7.0169785811817995,6.557103326962385,6.328705996187592,6.173735431469662,5.067115605521402,edm
26,loudness,6.518657462323892,3.4791432097622725,5.886618497048177,6.396428811641833,6.461289993955027,6.413753768199122,6.0200542373958426,edm
27,valence,3.3455342901772207,6.415862027966647,5.43052480854566,3.3261602978398046,3.3045480910226552,3.348012274324353,5.1917412472118425,edm
28,tempo,6.184373804584314,3.0954516859747345,5.849049653640546,6.84826468945878,6.211141035755132,4.11134971735065,5.241138285243873,edm
29,duration,5.049081256132329,6.495402952426769,4.841255932021783,4.347671926946558,4.077468791971115,4.702625335594137,5.68997240165589,edm
30,danceability,5.827284167370142,3.626633711681495,4.5459807923569,6.019682479884168,5.822840042870258,5.684571217750266,5.4890204948792105,latin
31,energy,5.113795778961683,4.389649975345462,4.332592046033171,5.2607448333702385,5.068036150407196,4.9519523507585514,5.872502871778232,latin
32,loudness,5.4167919369333815,5.267217829512991,3.0399309359160056,5.528035847654418,5.460278160000089,5.396553603335998,4.59523572247628,latin
33,valence,6.44411429462186,4.568343152615045,3.7400679428664976,6.453628460728343,6.411849044202953,6.427911881916181,3.849552516728944,latin
34,tempo,4.441627472738089,5.389288976965547,5.920666003631271,4.500617835982833,4.007806740944178,4.273288585049329,6.901000229386183,latin
35,duration,4.3465900721745365,4.131407943012764,5.625638385561208,4.836917981736639,4.538734395985557,4.1291170542399716,5.869965202087861,latin
