,valence,playlist_genre
14,0.833,pop
15,0.52,pop
16,0.794,pop
17,0.457,pop
21,0.363,pop
24,0.817,pop
111,0.912,pop
112,0.759,pop
113,0.807,pop
114,0.566,pop
115,0.961,pop
116,0.898,pop
123,0.714,pop
124,0.759,pop
125,0.546,pop
127,0.188,pop
128,0.15,pop
129,0.798,pop
130,0.653,pop
131,0.872,pop
132,0.365,pop
144,0.125,pop
152,0.578,pop
153,0.613,pop
159,0.648,pop
174,0.91,pop
183,0.622,pop
193,0.87,pop
194,0.75,pop
195,0.239,pop
196,0.504,pop
370,0.456,pop
371,0.397,pop
372,0.391,pop
373,0.61,pop
374,0.744,pop
375,0.566,pop
376,0.827,pop
377,0.514,pop
378,0.567,pop
379,0.18,pop
380,0.32,pop
381,0.694,pop
382,0.451,pop
383,0.473,pop
384,0.669,pop
385,0.713,pop
386,0.888,pop
673,0.516,pop
674,0.492,pop
675,0.61,pop
676,0.976,pop
677,0.333,pop
678,0.221,pop
679,0.226,pop
680,0.697,pop
681,0.473,pop
682,0.394,pop
683,0.844,pop
684,0.449,pop
685,0.647,pop
686,0.647,pop
687,0.526,pop
704,0.744,pop
705,0.658,pop
706,0.121,pop
707,0.152,pop
708,0.512,pop
709,0.366,pop
710,0.508,pop
711,0.759,pop
712,0.218,pop
713,0.703,pop
714,0.827,pop
715,0.803,pop
766,0.406,pop
767,0.27,pop
768,0.231,pop
769,0.201,pop
770,0.348,pop
771,0.832,pop
772,0.387,pop
773,0.41,pop
774,0.683,pop
775,0.238,pop
776,0.814,pop
777,0.759,pop
778,0.758,pop
779,0.916,pop
780,0.475,pop
781,0.577,pop
782,0.53,pop
783,0.827,pop
784,0.355,pop
785,0.975,pop
786,0.87,pop
787,0.213,pop
788,0.445,pop
789,0.854,pop
790,0.638,pop
791,0.706,pop
792,0.535,pop
793,0.335,pop
794,0.404,pop
795,0.619,pop
796,0.276,pop
797,0.441,pop
798,0.528,pop
802,0.53,pop
803,0.281,pop
804,0.692,pop
805,0.34,pop
806,0.393,pop
814,0.215,pop
816,0.151,pop
817,0.708,pop
819,0.484,pop
820,0.123,pop
821,0.127,pop
822,0.72,pop
823,0.256,pop
824,0.242,pop
825,0.642,pop
826,0.651,pop
827,0.503,pop
828,0.37,pop
829,0.632,pop
830,0.374,pop
831,0.164,pop
832,0.426,pop
841,0.0467,pop
842,0.963,pop
843,0.587,pop
844,0.733,pop
845,0.417,pop
846,0.697,pop
848,0.585,pop
849,0.451,pop
850,0.762,pop
851,0.274,pop
852,0.65,pop
853,0.49,pop
854,0.478,pop
855,0.777,pop
869,0.8,pop
880,0.575,pop
881,0.252,pop
882,0.287,pop
883,0.644,pop
884,0.161,pop
896,0.375,pop
905,0.31,pop
906,0.66,pop
909,0.268,pop
910,0.709,pop
911,0.128,pop
912,0.63,pop
913,0.753,pop
916,0.325,pop
917,0.692,pop
918,0.34,pop
919,0.657,pop
920,0.388,pop
921,0.695,pop
922,0.9,pop
1000,0.138,pop
1010,0.0358,pop
1019,0.645,pop
1020,0.534,pop
1048,0.219,pop
